distance_km,traffic_density,shipment_weight_kg,shipment_volume_m3,delivery_type,vehicle_type,route_complexity,weather_conditions,time_of_day,loading_time_minutes,driver_experience_years,urban_rural,traffic_incidents,holiday_period,delivery_time_hours
524.620283863857,Very High,395.7454905316257,3.8450173688804,Standard,Bicycle,Moderate,Rain,,17.801698782696672,21.038766389753082,Suburban,Minor,No,63.212171259464654
299.643900295925,Medium,82.0867043238882,1.5313175725816752,Overnight,Bicycle,Complex,Clear,Morning,55.17961428112263,17.8535569662803,Rural,Minor,No,47.40746529160812
317.5317419440306,Very High,404.04641624067136,1.4563844252224702,Same Day,Motorcycle,Simple,Rain,Evening,14.104492140725217,12.544714204243395,Urban,Major,No,16.812332480067347
734.3460733657146,High,368.32076182036127,1.5698344454787578,Same Day,Truck,Complex,Storm,Afternoon,10.394816909328163,12.70036929414904,Rural,None,No,5.621988576353019
70.21352244456331,,5.4767370003871365,1.2133868425719303,Standard,,Simple,Rain,Evening,22.8246426768452,18.368215912071747,Suburban,None,No,57.829168583449444
674.2943389977839,Very High,415.16056316019296,3.1175574177772383,Overnight,Truck,Simple,Storm,Afternoon,19.467529271389473,,Suburban,None,No,9.425865735768259
814.6371944325754,High,486.4759571153609,1.433896159092494,Standard,Motorcycle,Moderate,Snow,Evening,37.62643658992837,21.673100201043248,Suburban,Minor,No,33.20855235130447
285.86141981107386,Very High,465.46502142792644,4.244649693832155,Overnight,Bicycle,Complex,Rain,Afternoon,34.14956332409258,25.105415064322788,Rural,Minor,No,62.17725024937728
159.014152122444,Very High,134.406102234899,0.935771594216106,Same Day,Van,Moderate,Rain,Afternoon,32.85641814126483,19.467454880835625,Rural,Minor,,27.250010991938428
567.3730966071912,Medium,413.85825466403094,0.4443234776043645,Standard,Van,Moderate,Clear,Morning,46.36940377193067,25.116471142466878,Suburban,Major,No,10.691371291467867
905.9107707315648,Very High,411.44602180334886,0.06986937980805967,,Truck,Moderate,Snow,Night,6.354604659536638,6.850475496046559,Suburban,None,No,10.169216496883143
,Medium,483.4676170019645,3.364926165015188,Same Day,,Moderate,,Morning,25.520800092529765,20.385893262980634,Rural,Major,No,
747.9546836405401,Very High,490.5257895417786,2.419598484638099,,Bicycle,Simple,Snow,Evening,44.47027323811417,23.346192896597355,Rural,Minor,No,31.098899633017712
373.220276006354,Medium,222.87024771964946,0.5021031071988299,Same Day,Bicycle,Moderate,Snow,Evening,34.57724928141177,4.592765193173907,Suburban,None,No,16.555956248338266
683.9179053526874,Medium,6.444137502537091,1.2620415193875845,Same Day,Motorcycle,Moderate,Storm,Night,19.8990852060209,19.631812799914538,Suburban,Minor,No,24.417621770836803
159.57204550794194,Very High,125.42746522857954,2.4726668879266107,Standard,Truck,Moderate,Rain,Morning,10.243046054484735,0.5731861297574914,Suburban,Major,No,60.923886996709776
981.6698435282917,,284.66689969131744,1.0403451119849318,Same Day,Van,Simple,,Afternoon,57.62510588005625,10.370842073868884,Urban,Minor,No,39.64629811306277
810.1398752214451,,8.824078076712482,4.568765678726679,Overnight,Truck,Simple,Storm,Morning,59.675845634274076,4.038598972151647,Rural,None,Yes,33.65192468377346
760.424271787715,,421.22574731626736,2.8456243380762376,Express,Van,Complex,Snow,Morning,14.514525824443323,18.223628132126926,Suburban,Minor,No,28.47227954504327
271.36668883815383,Very High,449.29654699147073,0.9904065558709377,Standard,Motorcycle,Complex,Storm,Afternoon,45.80772974646335,1.815341529595067,Urban,None,No,53.954636485437256
762.1166718304601,High,290.2528795549896,3.7410413598788885,Overnight,Bicycle,Simple,Clear,Evening,55.57850608131249,14.231603359777509,Urban,Minor,No,2.7154009275992053
